platform,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
airbnb,Apartment in Beirut,Beirut,1,1,35.0,4.75,99,37,19/11/2025 11:39
Stayinn,"Amine 601, 1-BR in Mar Mikhael",Beirut,1,1,92.0,5.0,98,43,2025-11-24T06:34:34.893310
Stayinn,"Amine 601, 1-BR in Mar Mikhael",Beirut,1,1,91.0,5.0,98,43,2025-11-22T06:30:40.175210
Stayinn,"Amine 601, 1-BR in Mar Mikhael",Beirut,1,1,94.0,5.0,98,43,2025-11-19T14:27:06.724146
Stayinn,"Amine 601, 1-BR in Mar Mikhael",Beirut,1,1,93.0,5.0,98,43,2025-11-21T06:34:34.844513
Stayinn,Achrafieh Rooftop 1-BR W Jacuzzi,Beirut,1,1,221.0,5.0,95,48,2025-11-23T06:31:58.673608
Stayinn,Achrafieh Rooftop 1-BR W Jacuzzi,Beirut,1,1,135.0,5.0,94,48,2025-11-19T14:27:07.199561
airbnb,Home in Thoum,Thoum,1,1,181.4,4.99,92,59,19/11/2025 11:35
airbnb,Apartment in Beirut,Beirut,3,3,158.6,4.89,91,39,19/11/2025 11:43
airbnb,Apartment in Achrafieh,Achrafieh,1,1,139.0,4.89,91,50,19/11/2025 11:39
Stayinn,"Bhub - Room 205 - Gouraud str. - Gemmayze, Beirut",Beirut,1,1,101.0,5.0,9,34,2025-11-23T06:31:17.472727
Stayinn,"Bhub - Room 205 - Gouraud str. - Gemmayze, Beirut",Beirut,1,1,99.0,5.0,9,34,2025-11-21T06:33:51.758055
Stayinn,"Bhub - Room 205 - Gouraud str. - Gemmayze, Beirut",Beirut,1,1,103.0,5.0,9,34,2025-11-20T06:32:14.598498
Stayinn,"Bhub - Room 205 - Gouraud str. - Gemmayze, Beirut",Beirut,1,1,106.0,5.0,9,34,2025-11-19T14:26:21.374149
airbnb,Apartment in Beirut,Beirut,1,1,57.6,5.0,9,24,19/11/2025 11:41
airbnb,Guesthouse in Ehden,Ehden,1,1,153.0,5.0,9,38,19/11/2025 11:47
airbnb,Apartment in Beirut,Beirut,2,1,60.0,5.0,9,7,19/11/2025 11:37
airbnb,Apartment in Keserwan District,Keserwan District,1,1,35.8,4.78,9,38,19/11/2025 11:38
airbnb,Dome in Himlaya,Himlaya,1,1,148.4,4.67,9,34,19/11/2025 11:39
airbnb,Apartment in Byblos,Byblos,1,2,83.0,4.78,9,10,19/11/2025 11:48
