platform,listing_id,title,city,bedrooms,bathrooms,beds,price,price_per_night_usd,rating,review_count,amenities_count,minimum_nights,url,last_scraped
LebanonRental,luxury-windmill-2-private-pool,Luxury Windmill 2 with Private Pool,Jbeil,1,1,1,Started 220$ /Night,220.0,,0,2,1,https://lebanon-rental.com/property/luxury-windmill-2-private-pool/,2025-11-27
LebanonRental,luxury-windmill-1-private-pool,Luxury Windmill 1 with Private Pool,Jbeil,1,1,1,Started 220$ /Night,220.0,,0,2,1,https://lebanon-rental.com/property/luxury-windmill-1-private-pool/,2025-11-27
LebanonRental,kour-3-bedrooms-villa,Kour 3 Bedrooms Villa,El Batroun,3,3,3,Starting 200$ /Night,200.0,,0,2,1,https://lebanon-rental.com/property/kour-3-bedrooms-villa/,2025-11-27
LebanonRental,private-villa-for-rent-in-batroun,Luxury Villa 6 BDRS  with Private Pool Batroun,El Batroun,6,5,6,Starting 700$ /Night,700.0,,0,2,1,https://lebanon-rental.com/property/private-villa-for-rent-in-batroun/,2025-11-27
LebanonRental,berbara-mansion,Luxury Berbara Mansion,Jbeil,5,3,5,"Starting 1,150$ /Night",1150.0,,0,3,1,https://lebanon-rental.com/property/berbara-mansion/,2025-11-27
LebanonRental,tannourine-luxurious-guesthouse,Tannourine 3 BDR Luxurious Villa,El Batroun,3,3,3,Starting 500$ /Night,500.0,,0,2,1,https://lebanon-rental.com/property/tannourine-luxurious-guesthouse/,2025-11-27
LebanonRental,dawhet-el-hoss-villa,Dawhet el Hoss Villa,Beirut,6,7,6,Starting 800$ /Night,800.0,,0,2,1,https://lebanon-rental.com/property/dawhet-el-hoss-villa/,2025-11-27
LebanonRental,luxury-studio-with-private-jacuzzi-in-fidar-guest-house,Luxury Studio with Private Jacuzzi in Fidar Guest House,Jbeil,1,1,1,Starting 80$ /Night,80.0,,0,2,1,https://lebanon-rental.com/property/luxury-studio-with-private-jacuzzi-in-fidar-guest-house/,2025-11-27
LebanonRental,cozy-seaside-studios-b3-units-at-fidar-guest-house,Cozy Seaside Studios B3 Units at Fidar Guest House,Jbeil,1,1,1,Starting 60$ /Night,60.0,,0,2,1,https://lebanon-rental.com/property/cozy-seaside-studios-b3-units-at-fidar-guest-house/,2025-11-27
LebanonRental,cozy-seaside-studios-b1-b2-b4-fidar-guest-house,"Cozy Seaside Studios – B1, B2 & B4 Units at Fidar Guest House",Jbeil,1,1,1,Starting 50$ /Night,50.0,,0,2,1,https://lebanon-rental.com/property/cozy-seaside-studios-b1-b2-b4-fidar-guest-house/,2025-11-27
