platform,listing_id,title,city,bedrooms,bathrooms,beds,price,rating,review_count,amenities_count,minimum_nights,last_scraped
airbnb,1474375658014894640,Cabin in Mayrouba,Mayrouba,2.0,1.0,2.0,543.0,5.0,16.0,31,5.0,2025-11-19 11:35:58
airbnb,1542196639719322486,Villa in Faqra,Faqra,3.0,2.0,5.0,1707.0,5.0,3.0,37,5.0,2025-11-19 11:35:58
airbnb,1526620901894322208,Apartment in Beirut,Beirut,1.0,1.0,2.0,216.0,5.0,3.0,22,5.0,2025-11-19 11:35:58
airbnb,1200706754310956282,Cabin in Chabtine,Chabtine,1.0,1.0,1.0,571.0,4.97,65.0,20,5.0,2025-11-19 11:35:58
airbnb,1393555511912612853,Apartment in Beirut,Beirut,1.0,1.0,1.0,318.0,4.97,32.0,37,5.0,2025-11-19 11:35:58
airbnb,1140028437851170273,Home in Thoum,Thoum,1.0,1.0,1.0,907.0,4.99,92.0,59,5.0,2025-11-19 11:35:58
airbnb,50951229,Cabin in Ghosta,Ghosta,1.0,1.0,3.0,931.0,4.91,270.0,50,5.0,2025-11-19 11:36:11
airbnb,860022470286788492,Apartment in Beirut,Beirut,1.0,1.0,1.0,206.0,4.92,203.0,19,5.0,2025-11-19 11:36:17
airbnb,51958257,Apartment in Beirut,Beirut,,1.0,,181.0,4.65,149.0,35,5.0,2025-11-19 11:36:16
airbnb,1336161051901418069,Room in Beirut,Beirut,,,,143.0,5.0,10.0,40,5.0,2025-11-19 11:36:13
airbnb,1469580820931453378,Apartment in Matn District,Matn District,2.0,2.0,3.0,336.0,5.0,8.0,25,5.0,2025-11-19 11:36:15
airbnb,1367454417262211663,Apartment in Kfar Chima,Kfar Chima,1.0,1.0,1.0,175.0,5.0,29.0,38,5.0,2025-11-19 11:36:18
airbnb,1483341455648208072,Windmill in Bekhaz,Bekhaz,1.0,1.0,1.0,1290.0,5.0,15.0,32,5.0,2025-11-19 11:36:24
airbnb,1116360101825630816,Treehouse in Ain El Teffaha,Ain El Teffaha,1.0,1.0,1.0,600.0,4.91,45.0,46,5.0,2025-11-19 11:36:28
airbnb,1482715045302974884,Apartment in Beirut,Beirut,1.0,1.0,1.0,299.0,5.0,8.0,22,5.0,2025-11-19 11:36:27
airbnb,1067517698267983660,Dome in Bmahari,Bmahari,1.0,1.0,2.0,879.0,4.93,41.0,40,5.0,2025-11-19 11:36:28
airbnb,720309330648717583,Loft in Batroun,Batroun,1.0,1.0,1.0,628.0,4.87,89.0,31,5.0,2025-11-19 11:36:28
airbnb,1357279954750483052,Apartment in Kasslik,Kasslik,1.0,2.0,1.0,278.0,4.33,43.0,28,5.0,2025-11-19 11:36:33
airbnb,786705204215300490,Apartment in El Baouchriye,El Baouchriye,1.0,1.0,1.0,261.0,5.0,176.0,65,5.0,2025-11-19 11:36:39
airbnb,1388893008097079104,Apartment in Byblos,Byblos,,1.0,,,5.0,6.0,32,,2025-11-19 11:36:42
airbnb,1379827130972348424,Apartment in Beirut,Beirut,,1.0,,,4.88,41.0,18,,2025-11-19 11:36:41
airbnb,623582248484880172,Apartment in Dekwaneh,Dekwaneh,,1.0,,531.0,5.0,,50,5.0,2025-11-19 11:36:40
airbnb,1044707546418172805,Apartment in Beirut,Beirut,1.0,1.0,1.0,406.0,4.99,151.0,64,5.0,2025-11-19 11:36:41
airbnb,638012133133712562,,Beirut,,1.0,,,4.93,,36,,2025-11-19 11:36:51
airbnb,1391446678988962837,,Baabdat,,2.0,,,5.0,,45,,2025-11-19 11:36:52
airbnb,1379849636320947673,,Beirut,,1.0,,,4.94,,21,,2025-11-19 11:36:54
airbnb,1451349986406860748,Guesthouse in Aarbet Qozhaiya,Aarbet Qozhaiya,,2.0,,,5.0,19.0,33,,2025-11-19 11:36:48
airbnb,1416643617472452568,,Beirut,,1.0,,,4.94,,41,,2025-11-19 11:37:01
airbnb,1452920247913087384,,Beirut,,1.0,,,4.75,,43,,2025-11-19 11:37:01
airbnb,1208028496458568662,,Beirut,,3.0,,,5.0,,41,,2025-11-19 11:37:04
airbnb,1450880219487584862,,Thoum,,1.0,,,5.0,,39,,2025-11-19 11:37:07
airbnb,850383083280721844,,Ain El Teffaha,,1.0,,,4.98,,57,,2025-11-19 11:37:04
airbnb,658487491649480623,,Beirut,,1.0,,,4.96,,34,,2025-11-19 11:37:09
airbnb,1049302917511989325,,Kour,,2.0,,,4.97,,40,,2025-11-19 11:37:15
airbnb,1181690028125624305,,Beirut,,1.0,,,5.0,,41,,2025-11-19 11:37:15
airbnb,23067932,,Aajaltoûn,,1.0,,,4.96,,39,,2025-11-19 11:37:17
airbnb,1497927588851648559,Apartment in Beirut,Beirut,2.0,1.0,2.0,300.0,5.0,9.0,7,5.0,2025-11-19 11:37:19
airbnb,1078322817736761874,Home in Kfardebian,Kfardebian,3.0,2.0,4.0,798.0,4.96,51.0,70,5.0,2025-11-19 11:37:20
airbnb,25467794,Apartment in Beirut,Beirut,1.0,1.0,1.0,600.0,4.78,207.0,33,5.0,2025-11-19 11:37:26
airbnb,1370086909921275457,Apartment in Beirut,Beirut,1.0,1.0,1.0,272.0,4.43,21.0,44,5.0,2025-11-19 11:37:28
