platform,listing_id,title,city,bedrooms,bathrooms,price,rating,review_count,amenities_count,last_scraped
airbnb,1474375658014894640,Cabin in Mayrouba,Mayrouba,2,1,108.6,5,16,31,19/11/2025 11:35
airbnb,1542196639719322486,Villa in Faqra,Faqra,3,2,341.4,5,3,37,19/11/2025 11:35
airbnb,1526620901894322208,Apartment in Beirut,Beirut,1,1,43.2,5,3,22,19/11/2025 11:35
airbnb,1200706754310956282,Cabin in Chabtine,Chabtine,1,1,114.2,4.97,65,20,19/11/2025 11:35
airbnb,1393555511912612853,Apartment in Beirut,Beirut,1,1,63.6,4.97,32,37,19/11/2025 11:35
airbnb,1140028437851170273,Home in Thoum,Thoum,1,1,181.4,4.99,92,59,19/11/2025 11:35
airbnb,50951229,Cabin in Ghosta,Ghosta,1,1,186.2,4.91,270,50,19/11/2025 11:36
airbnb,860022470286788492,Apartment in Beirut,Beirut,1,1,41.2,4.92,203,19,19/11/2025 11:36
airbnb,51958257,Apartment in Beirut,Beirut,,1,36.2,4.65,149,35,19/11/2025 11:36
airbnb,1336161051901418069,Room in Beirut,Beirut,,,28.6,5,10,40,19/11/2025 11:36
airbnb,1469580820931453378,Apartment in Matn District,Matn District,2,2,67.2,5,8,25,19/11/2025 11:36
airbnb,1367454417262211663,Apartment in Kfar Chima,Kfar Chima,1,1,35,5,29,38,19/11/2025 11:36
airbnb,1483341455648208072,Windmill in Bekhaz,Bekhaz,1,1,258,5,15,32,19/11/2025 11:36
airbnb,1116360101825630816,Treehouse in Ain El Teffaha,Ain El Teffaha,1,1,120,4.91,45,46,19/11/2025 11:36
airbnb,1482715045302974884,Apartment in Beirut,Beirut,1,1,59.8,5,8,22,19/11/2025 11:36
airbnb,1067517698267983660,Dome in Bmahari,Bmahari,1,1,175.8,4.93,41,40,19/11/2025 11:36
airbnb,720309330648717583,Loft in Batroun,Batroun,1,1,125.6,4.87,89,31,19/11/2025 11:36
airbnb,1357279954750483052,Apartment in Kasslik,Kasslik,1,2,55.6,4.33,43,28,19/11/2025 11:36
